start_neighborhood,trip_duration
Chelsea-Hudson Yards,529.0
Upper West Side-Lincoln Square,896.0
Bedford-Stuyvesant (West),236.0
Gramercy,373.0
Greenwich Village,1097.0
Midtown-Times Square,342.0
East Village,777.0
West Village,1640.0
East Village,457.0
Lower East Side,1085.0
Chelsea-Hudson Yards,995.0
Chelsea-Hudson Yards,340.0
Greenwich Village,195.0
East Village,277.0
Stuyvesant Town-Peter Cooper Village,64.0
Financial District-Battery Park City,990.0
Bedford-Stuyvesant (West),1077.0
West Village,1394.0
Murray Hill-Kips Bay,385.0
Chelsea-Hudson Yards,1077.0
Greenwich Village,904.0
Chelsea-Hudson Yards,546.0
Gramercy,453.0
Financial District-Battery Park City,1278.0
Chelsea-Hudson Yards,667.0
Williamsburg,2043.0
Upper West Side-Lincoln Square,409.0
Park Slope,773.0
Williamsburg,715.0
Midtown South-Flatiron-Union Square,468.0
West Village,414.0
Midtown South-Flatiron-Union Square,943.0
Greenwich Village,409.0
Chelsea-Hudson Yards,699.0
Financial District-Battery Park City,404.0
East Village,355.0
Midtown South-Flatiron-Union Square,1464.0
Stuyvesant Town-Peter Cooper Village,1671.0
Tribeca-Civic Center,464.0
West Village,719.0
Greenwich Village,1038.0
East Midtown-Turtle Bay,479.0
Chelsea-Hudson Yards,370.0
Upper West Side-Lincoln Square,916.0
Chelsea-Hudson Yards,481.0
Hell's Kitchen,331.0
Hell's Kitchen,519.0
SoHo-Little Italy-Hudson Square,418.0
Midtown South-Flatiron-Union Square,405.0
Financial District-Battery Park City,168.0
Greenwich Village,797.0
Chelsea-Hudson Yards,2013.0
Tribeca-Civic Center,1675.0
Lower East Side,603.0
Tribeca-Civic Center,665.0
Hell's Kitchen,926.0
Tribeca-Civic Center,1741.0
Murray Hill-Kips Bay,548.0
Clinton Hill,257.0
East Village,516.0
Tribeca-Civic Center,209.0
East Village,403.0
West Village,719.0
Gramercy,338.0
Midtown-Times Square,1067.0
Murray Hill-Kips Bay,400.0
Chelsea-Hudson Yards,1193.0
Lower East Side,272.0
Chelsea-Hudson Yards,309.0
Greenwich Village,1627.0
Midtown-Times Square,842.0
SoHo-Little Italy-Hudson Square,904.0
Murray Hill-Kips Bay,643.0
Midtown South-Flatiron-Union Square,1091.0
Tribeca-Civic Center,205.0
Upper West Side-Lincoln Square,553.0
East Village,224.0
Chelsea-Hudson Yards,668.0
Lower East Side,671.0
Midtown South-Flatiron-Union Square,489.0
Tribeca-Civic Center,1063.0
Tribeca-Civic Center,515.0
Midtown-Times Square,1186.0
Downtown Brooklyn-DUMBO-Boerum Hill,907.0
East Midtown-Turtle Bay,375.0
Tribeca-Civic Center,874.0
Gramercy,1431.0
East Village,156.0
Hell's Kitchen,306.0
Midtown-Times Square,1636.0
East Village,416.0
